City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Leningradskiy,69.38,178.42,-2.79,91,100,5.57,RU,1608498985
Vangaindrano,-23.35,47.6,75.06,92,38,4.32,MG,1608498985
Barrow,71.29,-156.79,-20.2,75,1,10.29,US,1608498985
Bredasdorp,-34.53,20.04,66.2,88,0,5.82,ZA,1608498985
Nuquí,5.71,-77.27,79.14,83,100,7.47,CO,1608498986
Avarua,-21.21,-159.78,80.6,61,100,4.7,CK,1608498986
Pisco,-13.7,-76.22,75.2,64,0,17.22,PE,1608498986
Big Spring,32.25,-101.48,62.01,18,1,3.36,US,1608498834
Ponta Delgada,37.73,-25.67,62.6,93,75,16.11,PT,1608498986
Leshukonskoye,64.9,45.76,19.27,97,100,7.43,RU,1608498986
Rikitea,-23.12,-134.97,76.69,77,24,22.26,PF,1608498734
Ushuaia,-54.8,-68.3,50.0,81,75,26.4,AR,1608498934
Pokhara,28.23,83.98,48.72,53,1,3.02,NP,1608498987
Lorengau,-2.02,147.27,82.4,76,77,5.99,PG,1608498987
Chardara,41.25,67.97,29.82,93,50,10.76,KZ,1608498987
Ndendé,-2.4,11.36,74.03,95,100,1.25,GA,1608498988
George Town,5.41,100.34,78.8,88,20,3.36,MY,1608498988
Bluff,-46.6,168.33,55.0,86,100,1.01,NZ,1608498988
Qaanaaq,77.48,-69.36,-0.63,73,80,6.02,GL,1608498735
Camargo,27.67,-105.17,64.15,23,82,5.66,MX,1608498988
Mayo,38.89,-76.51,44.01,87,40,6.93,US,1608498988
Bengkulu,-3.8,102.27,73.98,83,72,4.7,ID,1608498896
Bethel,41.37,-73.41,30.99,92,90,3.36,US,1608498739
Lompoc,34.64,-120.46,75.0,22,1,3.36,US,1608498868
Vestmannaeyjar,63.44,-20.27,34.7,83,0,12.1,IS,1608498699
New Norfolk,-42.78,147.06,59.0,65,0,1.01,AU,1608498989
Vaini,-21.2,-175.2,80.6,88,20,14.99,TO,1608498989
Mataura,-46.19,168.86,55.0,86,100,1.01,NZ,1608498990
Bandarbeyla,9.49,50.81,75.79,82,41,21.9,SO,1608498990
Hobart,-42.88,147.33,59.0,81,20,5.82,AU,1608498990
Kapaa,22.08,-159.32,78.8,78,40,18.34,US,1608498990
Biltine,14.53,20.92,68.4,22,52,6.44,TD,1608498990
Hofn,64.25,-15.21,35.08,80,63,9.22,IS,1608498990
Qaqortoq,60.72,-46.03,24.8,58,100,9.17,GL,1608498990
Punta Arenas,-53.15,-70.92,53.01,76,75,23.04,CL,1608498836
Cape Town,-33.93,18.42,73.0,56,0,21.92,ZA,1608498735
Mahanoro,-19.9,48.8,76.71,86,100,3.27,MG,1608498991
Sinnamary,5.38,-52.95,80.26,81,98,7.85,GF,1608498758
Bambous Virieux,-20.34,57.76,77.0,88,40,3.36,MU,1608498991
Ancud,-41.87,-73.82,57.2,71,90,4.7,CL,1608498804
Hualmay,-11.1,-77.61,72.91,70,52,8.75,PE,1608498992
Urusha,54.05,122.9,-6.45,90,88,1.25,RU,1608498992
Tasiilaq,65.61,-37.64,21.2,67,100,3.36,GL,1608498992
Puerto Ayora,-0.74,-90.35,78.8,69,75,2.24,EC,1608498992
Saint Paul Harbor,57.79,-152.41,33.8,59,1,14.99,US,1608498881
Deputatsky,69.3,139.9,-26.64,88,100,3.09,RU,1608498993
Nanortalik,60.14,-45.24,26.01,94,100,12.5,GL,1608498993
Pevek,69.7,170.31,-6.56,90,73,4.76,RU,1608498993
Kavieng,-2.57,150.8,83.44,70,13,2.98,PG,1608498993
Fortuna,40.6,-124.16,63.0,77,40,3.04,US,1608498872
Clyde River,70.47,-68.59,-0.4,84,90,14.99,CA,1608498993
Chokurdakh,70.63,147.92,-17.36,89,80,10.18,RU,1608498993
Chengdu,30.67,104.07,42.01,100,0,2.75,CN,1608498993
Dubbo,-32.25,148.62,62.6,72,75,4.7,AU,1608498994
Kapuskasing,49.42,-82.43,33.8,80,100,11.41,CA,1608498994
Hermanus,-34.42,19.23,70.0,76,0,5.99,ZA,1608498763
Busselton,-33.65,115.33,50.0,89,0,12.88,AU,1608498994
Port Elizabeth,-33.92,25.57,71.6,88,44,8.05,ZA,1608498994
Port Alfred,-33.59,26.89,72.0,94,44,1.01,ZA,1608498787
Carnarvon,-24.87,113.63,77.0,65,0,19.46,AU,1608498803
Saskylakh,71.92,114.08,-38.04,80,66,4.23,RU,1608498995
Esperance,-33.87,121.9,57.2,93,45,3.36,AU,1608498995
Kulhudhuffushi,6.62,73.07,82.27,68,70,7.58,MV,1608498995
Sibu,2.3,111.82,75.2,100,40,3.36,MY,1608498995
Manta,-0.95,-80.73,78.8,69,20,14.99,EC,1608498773
Mihona,26.28,78.98,53.98,40,47,5.19,IN,1608498995
Albany,42.6,-73.97,32.0,73,100,3.0,US,1608498995
Korla,41.76,86.15,16.48,92,0,2.28,CN,1608498702
Compostela,7.67,126.09,74.21,88,100,2.21,PH,1608498996
Nara,34.69,135.8,37.0,86,40,6.93,JP,1608498996
Mar del Plata,-38.0,-57.56,57.0,87,75,10.29,AR,1608498866
Puchezh,56.98,43.17,13.86,97,85,10.04,RU,1608498996
Rawson,-43.3,-65.1,78.06,22,1,13.98,AR,1608498996
Aripuanã,-9.17,-60.63,85.05,72,73,3.09,BR,1608498996
Weihe,33.0,105.32,27.61,91,0,1.7,CN,1608498996
Eufaula,31.89,-85.15,57.0,92,100,4.23,US,1608498802
Karratha,-20.74,116.85,85.39,50,29,6.91,AU,1608498997
Matagami,49.75,-77.63,30.2,92,90,13.87,CA,1608498997
Lagoa,39.05,-27.98,64.54,87,100,26.49,PT,1608498997
Baykit,61.67,96.37,-15.38,84,97,2.39,RU,1608498997
Tulun,54.56,100.58,16.45,94,98,4.34,RU,1608498997
Acajutla,13.59,-89.83,82.0,65,0,1.01,SV,1608498997
Alice Springs,-23.7,133.88,73.4,94,90,1.12,AU,1608498744
Biak,-0.91,122.88,78.91,74,100,1.43,ID,1608498998
Tuktoyaktuk,69.45,-133.04,-41.8,72,20,3.36,CA,1608498998
São Francisco,-15.95,-44.86,77.25,85,100,1.72,BR,1608498982
Hithadhoo,-0.6,73.08,82.0,73,0,7.36,MV,1608498998
Hong Gai,20.96,107.09,59.0,38,0,9.17,VN,1608498998
Del Rio,29.36,-100.9,71.6,15,1,12.75,US,1608498998
Bella Union,-30.28,-57.6,78.82,38,0,9.37,UY,1608498999
Khatanga,71.97,102.5,-29.29,85,98,4.61,RU,1608498999
